wrapped_network$start:INTEGER,wrapped_network$end:INTEGER,wrapped_network$node_id:INTEGER,wrapped_network$tBytes:INTEGER
1689862490000,1689862491000,11,4726582753055036757,1689862492096
1689862490000,1689862491000,9,4726022691690818219,1689862492123
1689862491000,1689862492000,6,4726446026976657408,1689862492627
1689862491000,1689862492000,8,4726010075358603947,1689862492636
1689862491000,1689862492000,5,4726511712450467157,1689862492650
1689862491000,1689862492000,9,4726022762088016555,1689862492666
1689862491000,1689862492000,4,4751174349577256960,1689862492669
1689862491000,1689862492000,3,4755576206835144021,1689862492940
1689862491000,1689862492000,10,4726513566399944021,1689862492992
1689862491000,1689862492000,11,4726582857979745621,1689862493066
1689862492000,1689862493000,5,4726511775007113216,1689862493625
1689862492000,1689862493000,8,4726010119728747861,1689862493644
1689862492000,1689862493000,9,4726022804053426176,1689862493649
1689862492000,1689862493000,4,4751174351988282709,1689862493657
1689862492000,1689862493000,6,4726446082319100587,1689862493659
1689862492000,1689862493000,3,4755576208112484352,1689862493893
1689862492000,1689862493000,10,4726513642534950229,1689862494016
1689862492000,1689862493000,11,4726582938130098859,1689862494085
1689862493000,1689862494000,11,4726583015204629163,1689862494618
1689862493000,1689862494000,8,4726010235547462315,1689862494662
1689862493000,1689862494000,4,4751174354983714816,1689862494667
1689862493000,1689862494000,9,4726022927969943552,1689862494669
1689862493000,1689862494000,5,4726511894639848107,1689862494678
1689862493000,1689862494000,6,4726446202891359573,1689862494724
1689862493000,1689862494000,3,4755576209780594005,1689862494914
1689862493000,1689862494000,10,4726513742728484181,1689862495071
1689862494000,1689862495000,11,4726583085691305984,1689862495631
1689862494000,1689862495000,9,4726023006856413184,1689862495666
1689862494000,1689862495000,8,4726010321044155051,1689862495700
1689862494000,1689862495000,5,4726511972240064512,1689862495706
1689862494000,1689862495000,6,4726446284652325547,1689862495740
1689862494000,1689862495000,4,4751174357459053227,1689862495745
1689862494000,1689862495000,3,4755576211006728875,1689862495957
1689862494000,1689862495000,10,4726513811090046976,1689862496027
1689862495000,1689862496000,11,4726583157374757547,1689862496648
1689862495000,1689862496000,9,4726023073987646805,1689862496700
1689862495000,1689862496000,8,4726010395836983979,1689862496716
1689862495000,1689862496000,5,4726512081985426773,1689862496738
