wrapped_network$start:INTEGER,wrapped_network$end:INTEGER,wrapped_network$node_id:INTEGER,wrapped_network$tBytes:INTEGER
1689848532000,1689848533000,6,4726024572782102300,1689848533324
1689848533000,1689848534000,8,4725592706652268620,1689848534277
1689848533000,1689848534000,9,4725601772860953941,1689848534277
1689848533000,1689848534000,10,4726094363982425353,1689848534277
1689848533000,1689848534000,11,4726172419338602875,1689848534277
1689848533000,1689848534000,3,4755569402726143317,1689848534281
1689848533000,1689848534000,4,4751161059213224619,1689848534281
1689848533000,1689848534000,5,4726084057144598831,1689848534281
1689848533000,1689848534000,6,4726024774195687272,1689848534281
1689848534000,1689848535000,3,4755569405456596385,1689848535244
1689848534000,1689848535000,4,4751161064337285423,1689848535244
1689848534000,1689848535000,5,4726084235539843451,1689848535244
1689848534000,1689848535000,6,4726024933965736619,1689848535244
1689848534000,1689848535000,8,4725592880996126265,1689848535310
1689848534000,1689848535000,9,4725601940352250918,1689848535310
1689848534000,1689848535000,10,4726094533745481652,1689848535310
1689848534000,1689848535000,11,4726172586834870879,1689848535310
1689848535000,1689848536000,3,4755569408308994958,1689848536255
1689848535000,1689848536000,4,4751161070187329764,1689848536255
1689848535000,1689848536000,5,4726084425209377223,1689848536255
1689848535000,1689848536000,6,4726025117121982312,1689848536255
1689848535000,1689848536000,8,4725593065004903083,1689848536286
1689848535000,1689848536000,9,4725602125436944384,1689848536286
1689848535000,1689848536000,10,4726094726986698297,1689848536286
1689848535000,1689848536000,11,4726172785270810700,1689848536286
1689848536000,1689848537000,3,4755569411287329451,1689848537264
1689848536000,1689848537000,4,4751161076012208280,1689848537264
1689848536000,1689848537000,5,4726084614901280616,1689848537264
1689848536000,1689848537000,6,4726025314832152197,1689848537264
1689848536000,1689848537000,8,4725593238629204575,1689848537322
1689848536000,1689848537000,9,4725602298042496038,1689848537322
1689848536000,1689848537000,10,4726094916653746555,1689848537322
1689848536000,1689848537000,11,4726172969531867136,1689848537322
1689848537000,1689848538000,3,4755569413764308689,1689848538250
1689848537000,1689848538000,4,4751161081363907167,1689848538250
1689848537000,1689848538000,5,4726084785300628366,1689848538250
1689848537000,1689848538000,6,4726025485437797566,1689848538250
1689848537000,1689848538000,8,4725593412267176391,1689848538341
1689848537000,1689848538000,9,4725602475749253423,1689848538341
1689848537000,1689848538000,10,4726095079019293355,1689848538341
1689848537000,1689848538000,11,4726173148409301371,1689848538341
1689848538000,1689848539000,8,4725593616728000891,1689848539211
1689848538000,1689848539000,9,4725602681751096282,1689848539211
1689848538000,1689848539000,10,4726095269136840932,1689848539211
1689848538000,1689848539000,11,4726173344944444757,1689848539211
1689848538000,1689848539000,3,4755569416984485585,1689848539297
1689848538000,1689848539000,4,4751161087822125587,1689848539297
1689848538000,1689848539000,5,4726084993544404385,1689848539297
1689848538000,1689848539000,6,4726025687214267506,1689848539297
1689848539000,1689848540000,8,4725593792739638082,1689848540246
1689848539000,1689848540000,9,4725602857086673806,1689848540246
1689848539000,1689848540000,10,4726095444969521152,1689848540246
1689848539000,1689848540000,11,4726173511632299501,1689848540246
1689848539000,1689848540000,3,4755569419809504673,1689848540286
1689848539000,1689848540000,4,4751161093406530674,1689848540286
1689848539000,1689848540000,5,4726085177315814665,1689848540286
1689848539000,1689848540000,6,4726025863598731719,1689848540286
1689848540000,1689848541000,8,4725593988260070590,1689848541231
1689848540000,1689848541000,9,4725603050002288185,1689848541231
1689848540000,1689848541000,10,4726095641026824571,1689848541231
1689848540000,1689848541000,11,4726173709163512415,1689848541231
1689848540000,1689848541000,3,4755569422669592804,1689848541289
1689848540000,1689848541000,4,4751161099185893224,1689848541289
1689848540000,1689848541000,5,4726085362991128273,1689848541289
1689848540000,1689848541000,6,4726026050474548338,1689848541289
1689848541000,1689848542000,8,4725594178523642084,1689848542262
1689848541000,1689848542000,9,4725603237852426088,1689848542262
1689848541000,1689848542000,10,4726095824713727393,1689848542262
1689848541000,1689848542000,11,4726173896285394868,1689848542262
1689848541000,1689848542000,3,4755569425816214035,1689848542290
1689848541000,1689848542000,4,4751161105499175140,1689848542290
1689848541000,1689848542000,5,4726085560815631777,1689848542290
1689848541000,1689848542000,6,4726026251694263258,1689848542290
1689848542000,1689848543000,8,4725594357336452968,1689848543232
1689848542000,1689848543000,9,4725603411129998450,1689848543232
1689848542000,1689848543000,10,4726095999437868601,1689848543232
1689848542000,1689848543000,11,4726174071707965364,1689848543232
1689848542000,1689848543000,3,4755569428511248536,1689848543304
1689848542000,1689848543000,4,4751161110721394309,1689848543304
1689848542000,1689848543000,5,4726085717640347648,1689848543304
1689848542000,1689848543000,6,4726026421313159775,1689848543304
1689848543000,1689848544000,8,4725594560445158135,1689848544274
1689848543000,1689848544000,9,4725603616967797419,1689848544274
1689848543000,1689848544000,10,4726096202750385873,1689848544274
1689848543000,1689848544000,11,4726174274585517777,1689848544274
1689848543000,1689848544000,3,4755569431639655614,1689848544312
1689848543000,1689848544000,4,4751161117058210930,1689848544312
1689848543000,1689848544000,5,4726085908118916058,1689848544312
1689848543000,1689848544000,6,4726026622972810581,1689848544312
1689848544000,1689848545000,8,4725594736762513484,1689848545283
1689848544000,1689848545000,9,4725603789427635845,1689848545283
1689848544000,1689848545000,10,4726096379788540132,1689848545283
1689848544000,1689848545000,11,4726174447808408841,1689848545283
1689848544000,1689848545000,3,4755569434428673593,1689848545331
1689848544000,1689848545000,4,4751161122618382260,1689848545331
1689848544000,1689848545000,5,4726086083407268826,1689848545331
1689848544000,1689848545000,6,4726026787070760277,1689848545331
1689848545000,1689848546000,3,4755569437104144384,1689848546247
1689848545000,1689848546000,4,4751161128189738401,1689848546247
1689848545000,1689848546000,5,4726086269134778216,1689848546247
1689848545000,1689848546000,6,4726026966637303125,1689848546247
1689848545000,1689848546000,8,4725594913183017643,1689848546284
1689848545000,1689848546000,9,4725603978249609519,1689848546284
1689848545000,1689848546000,10,4726096572927850724,1689848546284
1689848545000,1689848546000,11,4726174644623793873,1689848546284
1689848546000,1689848547000,3,4755569440066750236,1689848547261
1689848546000,1689848547000,4,4751161134359248896,1689848547261
1689848546000,1689848547000,5,4726086466144033299,1689848547261
1689848546000,1689848547000,6,4726027159436098370,1689848547261
1689848546000,1689848547000,8,4725595094340910497,1689848547264
1689848546000,1689848547000,9,4725604159811398315,1689848547264
1689848546000,1689848547000,10,4726096762604841036,1689848547264
1689848546000,1689848547000,11,4726174831062160119,1689848547264
1689848547000,1689848548000,3,4755569442696462336,1689848548241
1689848547000,1689848548000,4,4751161139569623040,1689848548241
1689848547000,1689848548000,5,4726086638253414324,1689848548241
1689848547000,1689848548000,6,4726027333784927042,1689848548241
1689848547000,1689848548000,8,4725595271572934808,1689848548311
1689848547000,1689848548000,9,4725604325634915745,1689848548311
1689848547000,1689848548000,10,4726096936836850574,1689848548311
1689848547000,1689848548000,11,4726175005584974734,1689848548311
1689848548000,1689848549000,8,4725595473856449498,1689848549248
1689848548000,1689848549000,9,4725604527712132817,1689848549248
1689848548000,1689848549000,10,4726097145150220971,1689848549248
1689848548000,1689848549000,11,4726175209429391891,1689848549248
1689848548000,1689848549000,3,4755569445952368488,1689848549281
1689848548000,1689848549000,4,4751161145530233894,1689848549281
1689848548000,1689848549000,5,4726086840715885985,1689848549281
1689848548000,1689848549000,6,4726027536500921079,1689848549281
1689848549000,1689848550000,8,4725595643823317902,1689848550284
1689848549000,1689848550000,9,4725604698315292672,1689848550284
1689848549000,1689848550000,10,4726097315405408939,1689848550284
1689848549000,1689848550000,11,4726175383584350511,1689848550284
