wrapped_network$start:INTEGER,wrapped_network$end:INTEGER,wrapped_network$node_id:INTEGER,wrapped_network$tBytes:INTEGER
1689857943000,1689857944000,9,4725836812239503360,1689857945091
1689857943000,1689857944000,10,4726323321315699371,1689857945091
1689857943000,1689857944000,11,4726399954012427605,1689857945091
1689857944000,1689857945000,8,4725824249348314453,1689857946013
1689857944000,1689857945000,9,4725836874762594987,1689857946013
1689857944000,1689857945000,10,4726323391891854677,1689857946013
1689857944000,1689857945000,11,4726400023682613248,1689857946013
1689857944000,1689857945000,3,4755573122441849515,1689857946076
1689857944000,1689857945000,4,4751168397880502955,1689857946076
1689857944000,1689857945000,5,4726322739481848491,1689857946076
1689857944000,1689857945000,6,4726258247002314069,1689857946076
1689857945000,1689857946000,8,4725824334677235029,1689857947041
1689857945000,1689857946000,9,4725836962194259968,1689857947041
1689857945000,1689857946000,10,4726323517911116459,1689857947041
1689857945000,1689857946000,11,4726400127723722069,1689857947041
1689857945000,1689857946000,3,4755573123995839147,1689857947075
1689857945000,1689857946000,4,4751168401194702165,1689857947075
1689857945000,1689857946000,5,4726322845536223232,1689857947075
1689857945000,1689857946000,6,4726258344444384597,1689857947075
1689857946000,1689857947000,3,4755573124859691008,1689857947650
1689857946000,1689857947000,4,4751168404012575403,1689857947650
1689857946000,1689857947000,5,4726322871317211819,1689857947650
1689857946000,1689857947000,6,4726258371053049173,1689857947650
1689857946000,1689857947000,8,4725824394426493611,1689857947657
1689857946000,1689857947000,9,4725837026014789632,1689857947657
1689857946000,1689857947000,10,4726323545358641835,1689857947657
1689857946000,1689857947000,11,4726400187472980651,1689857947657
1689857947000,1689857948000,3,4755573126414729216,1689857948677
1689857947000,1689857948000,4,4751168406987735040,1689857948677
1689857947000,1689857948000,5,4726322983914700800,1689857948677
1689857947000,1689857948000,6,4726258492363505664,1689857948677
1689857947000,1689857948000,8,4725824520826038955,1689857948690
1689857947000,1689857948000,9,4725837145200132096,1689857948690
1689857947000,1689857948000,10,4726323639299866624,1689857948690
1689857947000,1689857948000,11,4726400315539062784,1689857948690
1689857948000,1689857949000,3,4755573127760052224,1689857949702
1689857948000,1689857949000,4,4751168409701449728,1689857949702
1689857948000,1689857949000,5,4726323057108101803,1689857949702
1689857948000,1689857949000,6,4726258562223833088,1689857949702
1689857948000,1689857949000,8,4725824590876508160,1689857949713
1689857948000,1689857949000,9,4725837215060459520,1689857949713
