WrappedNetworkMetrics$start:INTEGER(64 bits),WrappedNetworkMetrics$end:INTEGER(64 bits),WrappedNetworkMetrics$node_id:INTEGER(64 bits),WrappedNetworkMetrics$tBytes:INTEGER(64 bits),timestamp
1698832681000,1698832682000,4,2125586140,1698832682158
1698832681000,1698832682000,8,16368146823,1698832682167
1698832681000,1698832682000,9,295922919,1698832682173
1698832681000,1698832682000,7,26894182700,1698832682177
1698832681000,1698832682000,11,313998077,1698832682183
1698832681000,1698832682000,10,323158045,1698832682215
1698832681000,1698832682000,6,5841447763,1698832682223
1698832682000,1698832683000,6,5841448948,1698832683118
1698832682000,1698832683000,4,2125587132,1698832683130
1698832682000,1698832683000,9,295924006,1698832683135
1698832682000,1698832683000,11,313999233,1698832683160
1698832682000,1698832683000,8,16368148035,1698832683162
1698832682000,1698832683000,7,26894183880,1698832683176
1698832682000,1698832683000,10,323159114,1698832683198
1698832682000,1698832683000,5,732159443,1698832683231
1698832683000,1698832684000,5,732160463,1698832684122
1698832683000,1698832684000,6,5841449899,1698832684124
1698832683000,1698832684000,11,313999917,1698832684127
1698832683000,1698832684000,8,16368148962,1698832684159
1698832683000,1698832684000,7,26894184810,1698832684167
1698832683000,1698832684000,10,323159871,1698832684170
1698832683000,1698832684000,9,295924798,1698832684215
1698832683000,1698832684000,4,2125588260,1698832684226
1698832684000,1698832685000,5,732161588,1698832685126
1698832684000,1698832685000,6,5841451134,1698832685128
1698832684000,1698832685000,10,323161104,1698832685143
1698832684000,1698832685000,8,16368150250,1698832685154
1698832684000,1698832685000,7,26894186012,1698832685164
1698832684000,1698832685000,9,295925955,1698832685184
1698832684000,1698832685000,4,2125589236,1698832685201
1698832684000,1698832685000,11,314001260,1698832685204
1698832685000,1698832686000,5,732162515,1698832686120
1698832685000,1698832686000,6,5841452016,1698832686126
1698832685000,1698832686000,8,16368151132,1698832686148
1698832685000,1698832686000,9,295926621,1698832686160
1698832685000,1698832686000,7,26894186863,1698832686162
1698832685000,1698832686000,11,314002104,1698832686183
1698832685000,1698832686000,4,2125589958,1698832686186
1698832685000,1698832686000,10,323161782,1698832686219
1698832686000,1698832687000,5,732163823,1698832687126
1698832686000,1698832687000,6,5841453402,1698832687128
1698832686000,1698832687000,9,295927833,1698832687134
1698832686000,1698832687000,8,16368152467,1698832687142
1698832686000,1698832687000,4,2125591087,1698832687153
1698832686000,1698832687000,11,314003187,1698832687160
1698832686000,1698832687000,7,26894188205,1698832687167
1698832686000,1698832687000,10,323162850,1698832687203
1698832687000,1698832688000,11,314004225,1698832688120
1698832687000,1698832688000,6,5841454234,1698832688122
1698832687000,1698832688000,4,2125591802,1698832688125
1698832687000,1698832688000,5,732164672,1698832688126
1698832687000,1698832688000,8,16368153329,1698832688133
1698832687000,1698832688000,7,26894189053,1698832688152
1698832687000,1698832688000,10,323163632,1698832688178
1698832687000,1698832688000,9,295928739,1698832688219
1698832688000,1698832689000,6,5841455516,1698832689120
1698832688000,1698832689000,5,732166024,1698832689130
1698832688000,1698832689000,8,16368154542,1698832689134
1698832688000,1698832689000,10,323164582,1698832689150
1698832688000,1698832689000,7,26894190318,1698832689155
1698832688000,1698832689000,9,295929766,1698832689190
1698832688000,1698832689000,11,314005248,1698832689193
1698832688000,1698832689000,4,2125592955,1698832689201
1698832689000,1698832690000,10,323165603,1698832690120
1698832689000,1698832690000,5,732167013,1698832690126
1698832689000,1698832690000,8,16368155685,1698832690131
1698832689000,1698832690000,9,295930879,1698832690150
1698832689000,1698832690000,7,26894191361,1698832690156
1698832689000,1698832690000,11,314006335,1698832690161
1698832689000,1698832690000,4,2125593800,1698832690166
1698832689000,1698832690000,6,5841456630,1698832690221
1698832690000,1698832691000,11,314007157,1698832691122
1698832690000,1698832691000,9,295931737,1698832691124
1698832690000,1698832691000,8,16368156636,1698832691127
1698832690000,1698832691000,5,732168083,1698832691129
1698832690000,1698832691000,4,2125594732,1698832691139
1698832690000,1698832691000,7,26894192379,1698832691158
1698832690000,1698832691000,6,5841457753,1698832691220
1698832690000,1698832691000,10,323166490,1698832691224
1698832691000,1698832692000,8,16368157935,1698832692129
1698832691000,1698832692000,5,732169217,1698832692131
1698832691000,1698832692000,7,26894193615,1698832692155
1698832691000,1698832692000,11,314008479,1698832692198
1698832691000,1698832692000,9,295932980,1698832692202
1698832691000,1698832692000,4,2125595665,1698832692214
1698832691000,1698832692000,10,323167619,1698832692215
1698832691000,1698832692000,6,5841458851,1698832692221
1698832692000,1698832693000,8,16368158808,1698832693121
1698832692000,1698832693000,5,732170162,1698832693133
1698832692000,1698832693000,7,26894194520,1698832693157
1698832692000,1698832693000,11,314009213,1698832693158
1698832692000,1698832693000,9,295933776,1698832693166
1698832692000,1698832693000,4,2125596670,1698832693185
1698832692000,1698832693000,10,323168267,1698832693207
1698832692000,1698832693000,6,5841459887,1698832693212
1698832693000,1698832694000,9,295935098,1698832694127
1698832693000,1698832694000,11,314010453,1698832694130
1698832693000,1698832694000,5,732171422,1698832694132
1698832693000,1698832694000,7,26894195849,1698832694140
1698832693000,1698832694000,4,2125597631,1698832694145
1698832693000,1698832694000,10,323169525,1698832694196
1698832693000,1698832694000,6,5841461075,1698832694203
1698832693000,1698832694000,8,16368160204,1698832694228
1698832694000,1698832695000,4,2125598255,1698832695124
1698832694000,1698832695000,5,732172281,1698832695126
1698832694000,1698832695000,7,26894196720,1698832695141
1698832694000,1698832695000,6,5841461939,1698832695189
1698832694000,1698832695000,10,323170266,1698832695192
1698832694000,1698832695000,9,295935813,1698832695215
1698832694000,1698832695000,11,314011441,1698832695217
1698832694000,1698832695000,8,16368161094,1698832695225
1698832695000,1698832696000,7,26894198090,1698832696121
1698832695000,1698832696000,5,732173687,1698832696125
1698832695000,1698832696000,10,323171306,1698832696183
1698832695000,1698832696000,6,5841463352,1698832696189
1698832695000,1698832696000,9,295937013,1698832696191
1698832695000,1698832696000,4,2125599514,1698832696202
1698832695000,1698832696000,11,314012527,1698832696204
1698832695000,1698832696000,8,16368162405,1698832696227
1698832696000,1698832697000,7,26894199010,1698832697117
1698832696000,1698832697000,5,732174535,1698832697129
1698832696000,1698832697000,4,2125600291,1698832697166
1698832696000,1698832697000,10,323172219,1698832697169
1698832696000,1698832697000,9,295937941,1698832697170
1698832696000,1698832697000,6,5841464223,1698832697191
1698832696000,1698832697000,11,314013547,1698832697194
1698832696000,1698832697000,8,16368163277,1698832697206
1698832697000,1698832698000,7,26894200106,1698832698122
1698832697000,1698832698000,5,732175684,1698832698124
1698832697000,1698832698000,4,2125601317,1698832698139
1698832697000,1698832698000,9,295938796,1698832698144
1698832697000,1698832698000,10,323173022,1698832698151
1698832697000,1698832698000,11,314014403,1698832698177
1698832697000,1698832698000,6,5841465413,1698832698189
1698832697000,1698832698000,8,16368164356,1698832698209
1698832698000,1698832699000,9,295939887,1698832699114
1698832698000,1698832699000,7,26894201280,1698832699118
1698832698000,1698832699000,5,732176706,1698832699124
